ID;Название;Web-анонс;Web-название;Web-описание
177668;WEICON Цианоакрилатный клей гель (20 г) пастообразный. Медленный. Для вертикальных поверхностей;Цианоакрилатные клеевые составы с желеобразной консистенцией, а так же специальный резиновый клей серии VA черного цвета.;WEICON Цианоакрилатный клей гель (20 г) для вертикальных поверхностей;Цианоакрилатные клеевые составы с желеобразной консистенцией, а так же специальный резиновый клей серии VA черного цвета.
177676;WEICON O-Ring Набор для изготовления уплотнительных колец;Набор для уплотнительных колец;WEICON O-Ring Набор для изготовления уплотнительных колец;"&lt;p style=&quot;text-align: justify;&quot;&gt;&lt;span style=&quot;color: #33cccc;&quot;&gt;&lt;strong&gt;WEICON O-Ring&lt;/strong&gt;&lt;/span&gt; - Набор для уплотнительных колец.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Удобное и быстрое решение для изготовления необходимого количества прокладок нужного размера и диаметра.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Назначение: уплотнение неподвижных и подвижных соединений гидравлических, топливных, смазочных и пневматических устройств.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Рабочая среда: минеральные масла, жидкие топлива, эмульсии, смазки, пресная и морская вода, сжатый воздух.&lt;/p&gt;"
177678;WEICON Contact VA 2500 HT Цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 2500 HT цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177682;WEICON Contact VA 5000 THIX Цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.;WEICON Contact VA 5000 THIX цианоакрилатный клей (12 г);Особенно хорошо соединяет изделия из каучука и резины. Верно подобрав тип клея и тщательно подготовив поверхность можно добиться соединения прочнее склеиваемого материала.
177690;WEICON Contact VA 250 Черный Цианоакрилатный клей (12 г) Высокая вязкость 2000-3000 mPa·s. Медленный;Цианоакрилатные клеевые составы с желеобразной консистенцией, а так же специальный резиновый клей серии VA черного цвета.;WEICON Contact VA 250 черный цианоакрилатный клей (12 г);Цианоакрилатные клеевые составы с желеобразной консистенцией, а так же специальный резиновый клей серии VA черного цвета.
177935;WEICON GMK 2410 Контактный клей (185 г);Предназначен для упругого и крепкого склеивания больших поверхностей резины с резиной и резины с металлом;WEICON GMK 2410 Контактный клей (185 г);"&lt;p&gt;&lt;strong&gt;WEICON GMK 2410 Rubber Metal Adhesive&lt;/strong&gt; предназначен для склеивания резины с металлом. Его отличительными свойствами являются быстрое отверждение, сильная фиксация и постоянная упругость.&lt;/p&gt;
&lt;p&gt;&lt;strong&gt;WEICON GMK 2410&lt;/strong&gt; – контактный клей, содержащий растворители на основе полихлоропрена (CR). Используется для упругого и крепкого склеивания больших поверхностей резины с резиной и резины с металлом. &lt;strong&gt;WEICON GMK 2410&lt;/strong&gt; применяется также для склеивания пористой резины (например, неопрена), кожи, войлока, изоляционных материалов, текстиля, дерева и многих пластиков. После отверждения влагоустойчив.&lt;strong&gt; WEICON GMK 2410&lt;/strong&gt; не подходит для таких материалов, как: пенополистирол, полиэтилен, полипропилен, пена ПВХ, искусственная кожа.&lt;/p&gt;"
177941;WEICON GMK 2510 Двухкомпонентный контактный клей (0,69 кг);Предназначен для упругого и крепкого склеивания больших поверхностей резины с резиной и резины с металлом. Обладает более высокой адгезией в сравнении с GMK 2410;WEICON GMK 2510 Двухкомпонентный контактный клей (0,69 кг);"&lt;p style=&quot;text-align: justify;&quot;&gt;WEICON GMK 2510 специальный, двухкомпонентный клей для склеивания резины с металлом. WEICON GMK 2510 обладает более высокой адгезией в сравнении с GMK 2410 и, соответственно, выдерживает более сильные нагрузки. Используется для упругого и крепкого склеивания больших поверхностей резины с резиной и резины с металлом.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Преимущество по сравнению с 1-ми контактными клеями в усиленной адгезии и повышенной температурной усточивости. GMK 2510 склеивает резину, металл, текстиль, кожу, неопрен, ХСПЭ, изоляционные материалы, дерево и большинство пластмасс. После полимеризации клеевое соединение эластично и влагоустойчиво.&lt;/p&gt;"
232413;Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 20Вт, необходим ПК;Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 20Вт, необходим ПК;Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 20Вт, необходим ПК;"Стационарная лазерная станция для промышленной маркировки небольших и средних деталей. Простая в использовании, лазерная станция LBox, устроена таким образом, что пользователь, практически незнакомый с лазерными технологиями, без труда выполнит любую задачу по маркировке.

Активный элемент надежно укрыт кожухом, предоставляя оператору возможность контролировать процесс маркировки через смотровое окно (максимальный 1-ый класс защиты по МЭК 60825). Специальное стекло защищает глаза оператора от попадания отраженных лазерных лучей. Эргономичная конструкция LBox не требует дополнительного пространства при открывании крышки. В открытом положении с трех сторон обеспечивается удобный доступ к маркируемой детали."
232414;Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 50Вт, необходим ПК;;;
232415;Стационарный лазерный маркиратор LBOX, окно 100х100мм, мощность 30Вт;;;
232440;Интегрируемый маркиратор E-smart, окно 50х20мм;Интегрируемый маркиратор E-smart, окно 50х20мм;Интегрируемый маркиратор SIC Marking E-smart, окно 50х20мм;"E-smart – первый сверхкомпактный интегрируемый маркиратор, в котором маркирующий механизм объединен с контроллером. Маркиратор E-smart разработан для интеграции в автоматизированные линии и может быть размещен практически на любом участке линии, в удобной ориентации.
Защита механических узлов и электронных компонентов позволяет интегрировать E-smart на самые сложные производственные участки и обеспечивает высокую надежность оборудования.

Благодаря объединению электронных и механических компонентов в едином корпусе, отсутствует необходимость в построении дополнительного электрошкафа. Программируется с ПК."
232441;Интегрируемый лазерный маркиратор, окно 100х100мм, мощность 20Вт, необходим ПК;;;
232442;Интегрируемый лазерный маркиратор, окно 100х100мм, мощность 20Вт;Интегрируемый лазерный маркиратор, окно 100х100мм, мощность 20Вт;Интегрируемый лазерный маркиратор i104, окно 100х100мм, мощность 20Вт               ;"i104 – интегрируемая лазерная станция для промышленной маркировки. 
Маркиратор i104 предназначен для интеграции в автоматизированные линии, где предъявляются повышенные требования к идентификации и прослеживанию. Оборудование способно наносить высококачественную маркировку на высокоскоростных линиях, с очень низкими эксплуатационными расходами.

Применение в i104 лазерной технологии позволяет маркировать экстремально сложные материалы вплоть до закаленной стали и титановых сплавов. i104 способен создать на маркируемой поверхности рисунок любой сложности."
232443;Интегрируемый лазерный маркиратор, окно 100х100мм, мощность 50Вт, необходим ПК;;;
232444;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 20Вт, необходим ПК;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 20Вт, необходим ПК;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 20Вт, необходим ПК;"Стационарная лазерная станция для промышленной маркировки средних и крупногабаритных деталей. Простая в использовании, лазерная станция XL-Box, устроена таким образом, что пользователь, практически незнакомый с лазерными технологиями, без труда выполнит любую задачу по маркировке.

Активный элемент надежно укрыт кожухом, предоставляя оператору возможность контролировать процесс маркировки через смотровое окно (максимальный 1-й класс защиты по МЭК 60825). Специальное стекло защищает глаза оператора от попадания отраженных лазерных лучей. Эргономичная конструкция XLBox не требует дополнительного пространства при открывании крышки. В открытом положении с трех сторон обеспечивается удобный доступ к маркируемой детали."
232445;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 20Вт;;;
232446;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 50Вт, необходим ПК;;;
232447;Интегрируемый маркиратор e10-i143, окно 150х100мм;Интегрируемый маркиратор e10-i143, окно 150х100мм;Интегрируемый маркиратор e10-i143, окно 150х100мм;"Маркиратор i143 разработан для интеграции в автоматизированные линии и может быть размещен практически на любом участке линии, в удобной ориентации.
Маркировочное окно 150х100 мм позволяет разместить больше информации на маркируемой детали или увеличить размер символов для лучшей читаемости маркировки.
Защита механических узлов и электронных компонентов позволяет интегрировать i143 на самые сложные производственные участки и обеспечивает высокую надежность оборудования."
232796;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 30Вт, необходим ПК;;;
232797;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 30Вт;;;
232798;Стационарный лазерный маркиратор XLBOX, окно 100х100мм, мощность 50Вт;;;
237932;WEICON Эпоксидный минутный клей алюминий (24 мл) ;WEICON Эпоксидный минутный клей алюминий (24 мл);WEICON Эпоксидный минутный клей алюминий (24 мл);Эпоксидный минутный клей алюминий предназначен для склеивания алюминия и других легких металлов. Состав используется для заполнения трещин и отверстий на алюминиевых корпусах, для ремонтных работ по склеиванию изделий из легких металлов. После отвержения может подвергаться механической обработке, обладает высокой прочностью на отслаивание и удар.
238150;Интегрируемый маркиратор e10-i113S-30, окно 110х60мм, прочерчивание, поршень d=30мм;;;
238151;Интегрируемый маркиратор e10-i63s, окно 60х30мм, прочерчивание, поршень d=20мм;Маркировочное окно 60х30 мм Для серийного производства Встраивается в производственную линию Подключение к ПК не требуется Малошумный и компактный;Интегрируемый маркиратор e10-i63s, окно 60х30мм, прочерчивание, поршень d=20мм;"&lt;p style=&quot;text-align: justify;&quot;&gt;Маркиратор i63s разработан для интеграции в автоматизированные линии и рекомендуется для нанесения маркировки, требующей последующего оптического считывания.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Оборудование отличается малой шумностью, высокой скоростью и компактным размером.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Защита механических узлов и электронных компонентов позволяет интегрировать i63s на самые сложные производственные участки и обеспечивает высокую надежность работы оборудования.&lt;/p&gt;"
238255;WEICON Contact  VA 180 HT Цианоакрилатный клей (30 г);WEICON Contact  VA 180 HT Цианоакрилатный клей (30 г);WEICON Contact  VA 180 HT Цианоакрилатный клей (30 г);"Клеи WEICON Contact застывают при комнатной температуре, не содержат растворителей, быстро полимеризуются благодаря естественной
влажности воздуха и воздействию давления (прижатия). За секунды склеивают друг с другом различные материалы, такие как: металл,
пластмасса, стекло, керамика, дерево, кожа, природный и синтетический каучук (резина)."
238484;WEICON F2 (0,5 кг) Эпоксидный композит полужидкий, наполненный алюминием;WEICON F2 (0,5 кг) Эпоксидный композит полужидкий, наполненный алюминием;WEICON F2 (0,5 кг) Эпоксидный композит полужидкий, наполненный алюминием;WEICON F2 используется для отливки моделей, форм и шаблонов, для ремонта пористых и поврежденных отливок, для изготовления прототипов и устройств крепления, а также для заливки штампов для производственного испытания.
238485;WEICON Ceramic BL (0,5 кг) Эпоксидный композит жидкий, с керамическим наполнением, износоустойчивый;WEICON Ceramic BL (0,5 кг) Эпоксидный композит жидкий, с керамическим наполнением, износоустойчивый;WEICON Ceramic BL (0,5 кг) Эпоксидный жидкий композит с керамическим наполнением;"WEICON Ceramic BL защитное покрытие с наполнителем из карборунда и силиката циркония, обладающее исключительно высокой износостойкостью и прочностью на истирание. Композит устойчив к воде, химикатам и температурам от -35 до +180°C. Наносится кистью.

Используется в качестве профилактики или после ремонтных работ. Образует гладкую поверхность с малыми потерями на трение. Решает много других задач на металлургических, машиностроительных, целлюлозно-бумажных, нефтехимических, теплоэнергетических и других предприятиях."
238486;WEICON Ремонтный стик Пластик (57 г);Оптимальное, простое и недорогое решение для ремонта самых разных материалов. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!;WEICON Ремонтный стик Пластик (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка для разных материалов в виде ремонтных стиков. Оптимальное, простое и недорогое решение для ремонта. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!&lt;/p&gt;"
238487;WEICON Ремонтный стик Медь (57 г);Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.;WEICON Ремонтный стик Медь (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка в виде толстой короткой палки - &quot;стика&quot;. Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.&lt;/p&gt;"
238488;WEICON ST (0,5 кг) Пастообразный композит, наполненный нержавеющей сталью;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON ST (0,5 кг) Пастообразный композит, наполненный нержавеющей сталью;"&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;
&lt;ul style=&quot;list-style-type: disc;&quot;&gt;
&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;
&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;
&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;
&lt;li&gt;Ремонт экономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;
&lt;/ul&gt;"
238489;WEICON C (0,5 кг) Эпоксидный композит жидкий, наполненный алюминием;WEICON C (0,5 кг) Эпоксидный композит жидкий, наполненный алюминием;WEICON C (0,5 кг) Эпоксидный композит жидкий, наполненный алюминием;"WEICON C – это универсальный термостойкий материал, предназначенный для заливки форм и изготовления фиксирующих устройств и инструментов, а также деталей из сплавов на основе алюминия.

WEICON C отличается высокими прочностными характеристиками, не корродирует, обладает антимагнитными свойствами, практически не дает усадки при затвердевании. После предварительного затвердения при комнатной температуре и последующей термической обработке при +120°C устойчив к высоким температурам до +220°C."
238490;WEICON CBC (3 кг) Эпоксидная смола, наполненная алюминием;Стальной металлополимер CBC предназначен для заливки монолитного фундамента, представляющего из себя цельную подошву, для точной и надежной установки крупногабаритного оборудования. ;WEICON CBC (3 кг) Эпоксидная смола, наполненная алюминием;"&lt;div id=&quot;faq&quot; style=&quot;overflow: hidden;&quot;&gt;&lt;ul&gt;&lt;li&gt;&lt;p&gt;&lt;img src=&quot;images/pictures/aplication_wr_uf.jpg&quot; alt=&quot;&quot; width=&quot;358&quot; height=&quot;246&quot; style=&quot;float: left; margin: 0 10px 10px 0;&quot; /&gt;&lt;/p&gt;&lt;p&gt;&lt;strong&gt;Металлополимер WEICON CBC&lt;/strong&gt; представляет собой специальный эпоксидный компаунд, в основу состава которого входит смола с наполнением из алюминия. Предназначен для заливки монолитного фундамента и крепежных подкладок для точной и надежной установки крупногабаритного оборудования, например: для изготовления фундаментных подушек для дизельных генераторов, судовых машин, промышленных газовых турбин мощностью до 55 МВт.&lt;/p&gt;&lt;a href=&quot;#&quot;&gt;Подробнее&amp;gt;&amp;gt;&amp;gt;&lt;/a&gt;&lt;div class=&quot;content not-display&quot;&gt;&lt;p&gt; &lt;/p&gt;&lt;p&gt;&lt;strong&gt;WEICON &lt;strong&gt;CBC&lt;/strong&gt;&lt;/strong&gt; прост и удобенв применении: путем заливки материала через отверстие диаметром 35 мм он заполняет пространство между металлическими плитами, либо металлической плитой и бетонной основой. Металлополимер обеспечивает 100%-е заполнение пространства благодаря своей низкойвязкости в"
238491;WEICON UW (0,5 кг) Пастообразный композит с минеральным наполнением;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON UW (0,5 кг) Пастообразный композит с минеральным наполнением;"&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;
&lt;ul style=&quot;list-style-type: disc;&quot;&gt;
&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;
&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;
&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;
&lt;li&gt;Ремонт экономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;
&lt;/ul&gt;"
238492;WEICON TI (0,5кг) Эпоксидный композит пастообразный, наполненный титаном;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON TI (0,5кг) Эпоксидный композит пастообразный, наполненный титаном;"&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;
&lt;ul style=&quot;list-style-type: disc;&quot;&gt;
&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;
&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;
&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;
&lt;li&gt;Ремонт экономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;
&lt;/ul&gt;"
238493;WEICON Уретан 80 (0,5 кг) Прочный резиновый компаунд для эластичного покрытия, основа полиуретан, тв;WEICON Уретан 80 (0,5 кг) Прочный резиновый компаунд для эластичного покрытия, основа полиуретан, твердость: А80. Темно-коричневый;WEICON Уретан 80 резиновый компаунд для эластичного покрытия, темно-коричневый;Urethan 80 это жидкая смола на основе полиуретана для эластичного литья и для создания защитных покрытий. Обеспечивает высокую ударопрочность и износостойкость, обладает температурной устойчивостью от -60°C до +90°C.  Склеивается с металлами, бетоном, резиной, деревом, стекловолокном и другими материалами.
238494;WEICON Ремонтный стик Дерево (28 г);Оптимальное, простое и недорогое решение для ремонта самых разных материалов. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!;WEICON Ремонтный стик Дерево (28 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка для разных материалов в виде ремонтных стиков. Оптимальное, простое и недорогое решение для ремонта. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!&lt;/p&gt;"
238495;WEICON WR (0,5 кг) Эпоксидный композит жидкий, наполненный сталью, износоустойчивый;WEICON WR (0,5 кг) Эпоксидный композит жидкий, наполненный сталью, износоустойчивый;WEICON WR (0,5 кг) Эпоксидный композит жидкий, наполненный сталью;WEICON WR износоустойчивый заливочный состав, образующий твердую поверхность с хорошими антифрикционными свойствами. Предназначен для выполнения ремонтных работ и скрепления валов заливкой, для заливки несущих поверхностей режущего и штамповочного инструмента, для изготовления литейных контурных моделей и форм вытягиваемой детали, для заливки оснований машин и фундаментов, а также для использования в качестве износоустойчивого промежуточного слоя перед окончательным нанесением защитного покрытия материалом WEICON Ceramic BL.
238496;WEICON Ремонтный стик Бетон (57 г);Оптимальное, простое и недорогое решение для ремонта самых разных материалов. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!;WEICON Ремонтный стик Бетон (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка для разных материалов в виде ремонтных стиков. Оптимальное, простое и недорогое решение для ремонта. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!&lt;/p&gt;"
238497;WEICON Уретан 60 (0,5 кг) Прочный резиновый компаунд для эластичного покрытия, основа полиуретан, тв;WEICON Уретан 60 (0,5 кг) Прочный резиновый компаунд для эластичного покрытия, основа полиуретан, твердость: А60. Светло-коричневый;WEICON Уретан 60 резиновый компаунд для эластичного покрытия, светло-коричневый;Urethan 60 это жидкая смола на основе полиуретана для эластичного литья и для создания защитных покрытий. Обеспечивает высокую ударопрочность и износостойкость, обладает температурной устойчивостью от -60°C до +90°C.  Склеивается с металлами, бетоном, резиной, деревом, стекловолокном и другими материалами.
238498;WEICON Клей-спрей (500 мл);Предназначен для склеивания больших поверхностей из легких материалов: бумага, текстиль, ковролин, кожа и т.д.;WEICON Клей-спрей (500 мл);"&lt;p&gt;&lt;strong&gt;WEICON Клей-спрей&lt;/strong&gt; сильной, средней и многократной фиксации.&lt;/p&gt;
&lt;p&gt;Быстрый и удобный в работе клей-аэрозоль для склеивания больших поверхностей из легких материалов: бумага, текстиль, ковролин, кожа и т.д.&lt;/p&gt;
&lt;p&gt;Основа – синтетический каучук.&lt;/p&gt;"
238499;WEICON Ремонтный стик Титан (57 г);Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.;WEICON Ремонтный стик Титан (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка в виде толстой короткой палки - &quot;стика&quot;. Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.&lt;/p&gt;"
238500;WEICON Ремонтный стик Аква (57 г);Оптимальное, простое и недорогое решение для ремонта самых разных материалов. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!;WEICON Ремонтный стик Аква (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка для разных материалов в виде ремонтных стиков. Оптимальное, простое и недорогое решение для ремонта. Устраняет недостатки на деталях из большинства полимеров, бетона и даже древесины. Пригоден даже для работы под водой!&lt;/p&gt;"
238501;WEICON A (0,5 кг) Эпоксидный композит пастообразный, наполненный сталью;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON A (0,5 кг) Эпоксидный композит пастообразный, наполненный сталью;"&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;
&lt;ul style=&quot;list-style-type: disc;&quot;&gt;
&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;
&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;
&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;
&lt;li&gt;Ремонт экономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;
&lt;/ul&gt;"
238502;WEICON Ремонтный стик Сталь (57 г);Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.;WEICON Ремонтный стик Сталь (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка в виде толстой короткой палки - &quot;стика&quot;. Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.&lt;/p&gt;"
238503;WEICON Ceramic W (0,5 кг) Пастообразный композит с минеральным наполнением;WEICON Ceramic W (0,5 кг) Пастообразный композит с минеральным наполнением;WEICON Ceramic W (0,5 кг) Пастообразный композит с минеральным наполнением;"Ceramic W устойчив к воздействию температур до +200°C (кратковременно до +260 °C), химикатов и обладает чрезвычайно высокой износостойкостью и прочностью на истирание. Состав при нанесении не стекает, может наноситься шпателем и использоваться на вертикальных поверхностях и даже «над головой».

Ceramic W используется для покрытия корпусов насосов, находящихся под высокой нагрузкой, в качестве средства защиты от износа для подшипников скольжения, желобов и труб, а также в тех случаях, когда использование защитных составов темного цвета нежелательно."
238504;WEICON B (0,5 кг) Эпоксидный композит жидкий, наполненный сталью;WEICON B (0,5 кг) Эпоксидный композит жидкий, наполненный сталью;WEICON B (0,5 кг) Эпоксидный композит жидкий, наполненный сталью;"WEICON В используется для изготовления моделей и форм, механизмов, шаблонов, инструментов и деталей из сплавов на основе железа (сталь, чугун). Состав предназначен для заполнения усадочных раковин и микропор в отливках, а также для выполнения общих ремонтных работ, где выгодно использовать заливочную массу. 

WEICON В полужидкий, легко смешивается и принимает различные формы, после застывания может подвергаться дальнейшей механической обработке.

Продукт широко используется в машиностроении, инструментальном производстве, при изготовлении моделей и форм, а также во многих других областях промышленности."
238505;WEICON SF (0,5 кг) Эпоксидный композит пастообразный, наполненный сталью, быстротвердеющий;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON SF (0,5 кг) Эпоксидный композит пастообразный, наполненный сталью;"&lt;p&gt;&lt;strong&gt;&lt;img src=&quot;images/weicon/metallopolimery/g1-5-view.jpg&quot; alt=&quot;&quot; width=&quot;325&quot; height=&quot;244&quot; style=&quot;float: left; margin: 0 20px 10px 0;&quot; /&gt;&lt;/strong&gt;&lt;/p&gt;&lt;p&gt; &lt;/p&gt;&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;&lt;ul style=&quot;list-style-type: disc;&quot;&gt;&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;&lt;li&gt;Ремонтэкономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;&lt;/ul&gt;"
238506;WEICON Эпоксидный ремонтный набор (0,1 кг) С минеральным наполнением;WEICON Эпоксидный ремонтный набор (0,1 кг) С минеральным наполнением;WEICON Эпоксидный ремонтный набор (0,1 кг) с минеральным наполнением;"Эпоксидный ремонтный набор WEICON представляет собой пастообразный (пластичный) материал с минеральным наполнителем, устойчивый к воздействию температур до +200°C. Состав используется в виде смеси, в отвержденном состоянии может механически обрабатываться и покрываться лаком.

Ремонтный материал прекрасно держится на поверхностях из таких материалов как: металл, дерево, стекло, резина, керамика, бетон, большинство пластмасс. Он устойчив к воздействию бензина, масла, эфира, морской воды и большинства кислот и щелочей.

Эпоксидный ремонтный набор WEICON хорошо подходит для герметизации, укрепления и соединения деталей; заполнения зазоров, ремонта валов, подшипников скольжения, насосов и корпусов, для обновления дефектной резьбы, для изготовления шаблонов и моделей, а также для ремонта деталей из алюминия и легких сплавов и деталей, полученных литьем под давлением."
238507;WEICON WR2 (0,5 кг) Эпоксидный композит пастообразный с минеральным наполнением, износоустойчивый;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON WR2 (0,5 кг) Эпоксидный композит пастообразный с минеральным наполнением;"&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;
&lt;ul style=&quot;list-style-type: disc;&quot;&gt;
&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;
&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;
&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;
&lt;li&gt;Ремонт экономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;
&lt;/ul&gt;"
